,date,open,high,low,close,volume
0,2012-01-02,4640.20,4645.95,4588.05,4636.75,108461000
1,2012-01-03,4675.80,4773.10,4675.80,4765.30,146621008
2,2012-01-04,4774.95,4782.85,4728.85,4749.65,165939008
3,2012-01-05,4749.00,4779.80,4730.15,4749.95,177863008
4,2012-01-06,4724.15,4794.90,4686.85,4754.10,176057008
5,2012-01-09,4747.55,4758.70,4695.45,4742.80,147535008
6,2012-01-10,4771.85,4855.90,4768.25,4849.55,201661008
7,2012-01-11,4863.15,4877.20,4841.60,4860.95,209080000
8,2012-01-12,4840.95,4869.20,4803.90,4831.25,183068992
9,2012-01-13,4861.95,4898.85,4834.20,4866.00,230940992
10,2012-01-16,4844.00,4880.80,4827.05,4873.90,160480000
11,2012-01-17,4904.50,4975.55,4904.00,4967.30,223004000
12,2012-01-18,4977.75,4980.65,4931.05,4955.80,211199008
13,2012-01-19,4995.00,5023.80,4991.40,5018.40,203488000
14,2012-01-20,5044.85,5064.15,5004.30,5048.60,221048000
15,2012-01-23,5025.35,5059.55,5021.35,5046.25,158178000
16,2012-01-24,5064.80,5141.05,5049.80,5127.35,202007008
17,2012-01-25,5151.50,5174.15,5130.25,5158.30,219176000
18,2012-01-27,5216.75,5217.00,5162.40,5204.70,215922992
19,2012-01-30,5163.55,5166.15,5076.70,5087.30,181140992
20,2012-01-31,5125.25,5215.40,5120.15,5199.25,215771008
21,2012-02-01,5198.15,5244.60,5159.00,5235.70,234898992
22,2012-02-02,5272.10,5289.95,5225.75,5269.90,337960992
23,2012-02-03,5276.10,5334.85,5255.55,5325.85,217357984
24,2012-02-06,5379.45,5390.05,5327.25,5361.65,215080000
25,2012-02-07,5412.95,5413.35,5322.95,5335.15,181194992
26,2012-02-08,5343.80,5396.90,5325.20,5368.15,236135008
27,2012-02-09,5343.05,5423.40,5338.90,5412.35,255307008
28,2012-02-10,5399.80,5427.75,5341.05,5381.60,225352000
29,2012-02-13,5382.10,5421.05,5351.40,5390.20,181562000
30,2012-02-14,5380.80,5428.05,5377.95,5416.05,201410000
31,2012-02-15,5460.60,5542.10,5460.60,5531.95,314366016
32,2012-02-16,5513.75,5531.40,5483.75,5521.95,270060000
33,2012-02-17,5574.20,5606.70,5545.20,5564.30,329308000
34,2012-02-21,5561.90,5621.50,5561.75,5607.15,231132000
35,2012-02-22,5609.75,5629.95,5491.35,5505.35,263013008
36,2012-02-23,5490.05,5537.40,5460.80,5483.30,307246976
37,2012-02-24,5479.15,5521.40,5405.90,5429.30,364661024
38,2012-02-27,5448.10,5449.80,5268.15,5281.20,235319008
39,2012-02-28,5310.50,5391.10,5306.45,5375.50,208134000
40,2012-02-29,5424.95,5458.80,5352.25,5385.20,226022000
41,2012-03-01,5366.00,5372.45,5297.50,5339.75,196868000
42,2012-03-02,5369.45,5392.55,5315.05,5359.35,185022000
43,2012-03-05,5342.55,5344.50,5265.70,5280.35,196420992
44,2012-03-06,5266.00,5382.05,5206.40,5222.40,290396000
45,2012-03-07,5207.05,5243.85,5171.45,5220.45,230725984
46,2012-03-09,5294.10,5342.30,5291.60,5333.55,203006000
47,2012-03-12,5420.10,5421.90,5327.30,5359.55,176668000
48,2012-03-13,5391.05,5438.65,5390.80,5429.50,179965008
